source_file,polyline_index,point_index,lon,lat,x,y,nearest_x,nearest_y,signed_distance_m,abs_distance_m,kept
2024-08-11T04:56:07Z.json,0,0,105.86785,20.99678,590199.1357121267,2322036.0562198507,590182.0637646898,2322023.4782467047,21.205112538004368,21.205112538004368,False
2024-08-11T04:56:07Z.json,0,1,105.86782,20.99676,590196.0295279365,2322033.8256512983,590182.0637646898,2322023.4782467047,17.381349915495875,17.381349915495875,True
2024-08-11T04:56:07Z.json,0,2,105.8678,20.99671,590193.9807644696,2322028.2802586746,590182.0637646898,2322023.4782467047,12.848120590593782,12.848120590593782,True
2024-08-11T04:56:07Z.json,0,3,105.86777,20.99647,590191.0067313563,2322001.6996081523,590182.1124763669,2322001.6360667893,8.894481959069342,8.894481959069342,True
2024-08-11T04:56:07Z.json,0,4,105.86777,20.99624,590191.1448901366,2321976.242703822,590182.2943405657,2321976.1794746947,8.850775425289775,8.850775425289775,True
2024-08-11T04:56:07Z.json,0,5,105.86781,20.99605,590195.4166389502,2321955.235651991,590182.4446271972,2321955.1429787646,12.97234278174383,12.97234278174383,True
2024-08-11T04:56:07Z.json,0,6,105.86778,20.9959,590192.3885279219,2321938.61640046,590182.5631960345,2321938.546207399,9.825582616938217,9.825582616938217,True
2024-08-11T04:56:07Z.json,0,7,105.86783,20.99553,590197.80782087,2321897.692197343,590182.8564680341,2321897.5821637823,14.951757722990132,14.951757722990132,True
2024-08-11T04:56:07Z.json,0,8,105.86776,20.99523,590190.7121598842,2321864.4480563714,590183.1285925965,2321864.338345543,7.58436083478904,7.58436083478904,True
2024-08-11T04:56:07Z.json,0,9,105.86777,20.99515,590191.7996229158,2321855.5991228633,590183.2568101337,2321855.475534711,8.543706705025691,8.543706705025691,True
2024-08-11T04:56:07Z.json,0,10,105.86775,20.99506,590189.7748589007,2321845.626445627,590183.4006301479,2321845.534230197,6.3748957543283895,6.3748957543283895,True
2024-08-11T04:56:07Z.json,0,11,105.86779,20.99488,590194.040624971,2321825.7262169146,590183.68935744,2321825.5764659997,10.352350691309175,10.352350691309175,True
2024-08-11T04:56:07Z.json,0,12,105.86784,20.99478,590199.2977586307,2321814.6862043077,590183.7879155816,2321818.7638085093,16.0368976873012,16.0368976873012,True
2024-08-17T06:24:47Z.json,0,0,105.86768,20.9968,590181.4539057108,2322038.173965618,590182.0637646898,2322023.4782467047,-14.708367766483994,14.708367766483994,False
2024-08-17T06:24:47Z.json,0,1,105.86764,20.99674,590177.3323445556,2322031.510472349,590182.0637646898,2322023.4782467047,-9.322177067930989,9.322177067930989,False
2024-08-17T06:24:47Z.json,0,2,105.86766,20.99671,590179.4291630408,2322028.2012871215,590182.0637646898,2322023.4782467047,-5.408163886945107,5.408163886945107,False
2024-08-17T06:24:47Z.json,0,3,105.86773,20.99663,590186.7530174064,2322019.3861956364,590182.0402874828,2322019.4177242815,4.712835387410387,4.712835387410387,True
2024-08-17T06:24:47Z.json,0,4,105.86774,20.9966,590187.8104383644,2322016.0713706147,590182.0181592824,2322016.1101215538,5.792408704422316,5.792408704422316,True
2024-08-17T06:24:47Z.json,0,5,105.86775,20.99634,590189.0060159402,2321987.2996411356,590182.2152436774,2321987.2511272435,6.790945554452801,6.790945554452801,True
2024-08-17T06:24:47Z.json,0,6,105.86773,20.99623,590186.9932832884,2321975.1133185094,590182.3021967058,2321975.079804962,4.691206292988049,4.691206292988049,True
2024-08-17T06:24:47Z.json,0,7,105.86776,20.99616,590190.1535411085,2321967.382487628,590182.3575849279,2321967.3267926113,7.7961551231307995,7.7961551231307995,True
2024-08-17T06:24:47Z.json,0,8,105.86777,20.9961,590191.2289860762,2321960.747197167,590182.4050405103,2321960.684158101,8.824170741370569,8.824170741370569,True
2024-08-17T06:24:47Z.json,0,9,105.86776,20.99605,590190.2196155321,2321955.2074467987,590182.4445634551,2321955.1519011226,7.775250486158446,7.775250486158446,True
2024-08-17T06:24:47Z.json,0,10,105.86779,20.99594,590193.4039059541,2321943.049328972,590182.5315802284,2321942.971656093,10.872603173237227,10.872603173237227,True
2024-08-17T06:24:47Z.json,0,11,105.86773,20.99581,590187.245557749,2321928.6267997115,590182.6342965307,2321928.5938564437,4.611378891547492,4.611378891547492,True
2024-08-17T06:24:47Z.json,0,12,105.8678,20.99567,590194.6054993377,2321913.1707797186,590182.7450857194,2321913.0860478496,11.860716280479974,11.860716280479974,True
2024-08-17T06:24:47Z.json,0,13,105.8678,20.99547,590194.7256372625,2321891.034343032,590182.9052965231,2321890.9473519623,11.820660837707115,11.820660837707115,True
2024-08-17T06:24:47Z.json,0,14,105.86772,20.99513,590186.6145808315,2321853.357276433,590183.2881509915,2321853.309153253,3.3267779187255675,3.3267779187255675,True
2024-08-17T06:24:47Z.json,0,15,105.86775,20.99511,590189.7448268146,2321851.160554436,590183.3205791309,2321851.0676153866,6.424919919248393,6.424919919248393,True
2024-08-17T06:24:47Z.json,0,16,105.86776,20.99497,590190.8683286387,2321835.670690457,590183.5448578871,2321835.564742423,7.324237082178516,7.324237082178516,True
2024-08-17T06:24:47Z.json,0,17,105.8678,20.99491,590195.0620176239,2321829.052323008,590183.6414627365,2321828.887102803,11.421749938248212,11.421749938248212,True
2024-08-17T06:24:47Z.json,0,18,105.86784,20.9949,590199.2256749514,2321827.9680653145,590183.6580165552,2321827.7428493127,15.569287401431344,15.569287401431344,False
2024-08-31T06:13:52Z.json,0,0,105.86765,20.99468,590179.6089589958,2321803.5108178556,590183.7879155816,2321818.7638085093,-15.815100443221892,15.815100443221892,False
2024-08-31T06:13:52Z.json,0,1,105.86766,20.99474,590180.6123389907,2321810.157387916,590183.7879155816,2321818.7638085093,-9.173590470163953,9.173590470163953,True
2024-08-31T06:13:52Z.json,0,2,105.86766,20.99493,590180.4982302047,2321831.187000415,590183.6075395591,2321831.231982531,-3.10963471366566,3.10963471366566,True
2024-08-31T06:13:52Z.json,0,3,105.86763,20.99509,590177.2839039236,2321848.8792283833,590183.3509685552,2321848.9670000956,-6.067699491377836,6.067699491377836,True
2024-08-31T06:13:52Z.json,0,4,105.86763,20.99533,590177.1397690305,2321875.442950418,590183.0190817803,2321875.4862188585,-5.879471963391391,5.879471963391391,True
2024-08-31T06:13:52Z.json,0,5,105.86765,20.99547,590179.134506953,2321890.949735213,590182.9050747647,2321890.977484475,-3.7706699199026694,3.7706699199026694,True
2024-08-31T06:13:52Z.json,0,6,105.86763,20.99572,590176.9055464654,2321918.6090002838,590182.7053332375,2321918.6504344856,-5.7999347750699375,5.7999347750699375,True
2024-08-31T06:13:52Z.json,0,7,105.86766,20.99579,590179.9817254412,2321926.373673241,590182.650021536,2321926.39273579,-2.6683641862860967,2.6683641862860967,True
2024-08-31T06:13:52Z.json,0,8,105.86769,20.99583,590183.0759200227,2321930.8178814026,590182.6184312444,2321930.8146130615,0.45750045279272805,0.45750045279272805,True
2024-08-31T06:13:52Z.json,0,9,105.86771,20.99593,590185.0946688235,2321941.897380818,590182.5393853647,2321941.8791256417,2.555348666272209,2.555348666272209,True
2024-08-31T06:13:52Z.json,0,10,105.86771,20.99596,590185.0766496963,2321945.2178464043,590182.5156639491,2321945.1995504904,2.5610511002576675,2.5610511002576675,True
2024-08-31T06:13:52Z.json,0,11,105.86768,20.99599,590181.9404153014,2321948.5213906826,590182.491904275,2321948.5253305696,-0.5515030469408768,0.5515030469408768,True
2024-08-31T06:13:52Z.json,0,12,105.86771,20.99607,590185.0105793523,2321957.3928869865,590182.4286854239,2321957.3744417024,2.581959814898611,2.581959814898611,True
2024-08-31T06:13:52Z.json,0,13,105.8677,20.9963,590183.8330282624,2321982.8441499462,590182.2468084798,2321982.8328178483,1.5862602608427914,1.5862602608427914,True
2024-08-31T06:13:52Z.json,0,14,105.86771,20.99647,590184.7703207624,2322001.665763126,590182.1123998687,2322001.6467746985,2.6579887204059975,2.6579887204059975,True
2024-08-31T06:13:52Z.json,0,15,105.86768,20.99667,590181.5319887073,2322023.785280191,590182.0637646898,2322023.4782467047,-0.6140482532352981,0.6140482532352981,True
2024-09-03T06:15:17Z.json,0,0,105.8676,20.99525,590174.0695836046,2321866.571457051,590183.0943975424,2321866.7020182735,-9.025758297526737,9.025758297526737,True
2024-09-03T06:15:17Z.json,0,1,105.86758,20.99535,590171.9307102502,2321877.6283953805,590183.0027168894,2321877.7098791315,-11.072306472473986,11.072306472473986,True
2024-09-03T06:15:17Z.json,0,2,105.86759,20.99566,590172.7839515847,2321911.945510149,590182.7527250375,2321912.016727969,-9.969027842829044,9.969027842829044,True
2024-09-03T06:15:17Z.json,0,3,105.86756,20.99581,590169.575650368,2321928.5309184277,590182.6340796892,2321928.624209029,-13.058762555157372,13.058762555157372,True
2024-09-03T06:15:17Z.json,0,4,105.86758,20.99612,590171.4682930578,2321962.85367453,590182.388983918,2321962.931692934,-10.920969541964828,10.920969541964828,True
2024-09-03T06:15:17Z.json,0,5,105.86763,20.99624,590176.5932432335,2321976.1637364407,590182.2941620374,2321976.204464321,-5.7010642838996395,5.7010642838996395,True
2024-09-03T06:15:17Z.json,0,6,105.86763,20.99638,590176.5091603291,2321991.6592429155,590182.1834620947,2321991.699780641,-5.674446566370333,5.674446566370333,True
2024-09-03T06:15:17Z.json,0,7,105.86766,20.99658,590179.5072439166,2322013.8126019,590182.0253575781,2322013.8305915324,-2.5181779204025436,2.5181779204025436,True
2024-09-03T06:15:17Z.json,0,8,105.86764,20.9968,590177.296307854,2322038.151404059,590182.0637646898,2322023.4782467047,-15.428227099284351,15.428227099284351,True
2024-09-10T21:30:52Z.json,0,0,105.86785,20.99671,590199.1777650766,2322028.3084658897,590182.0637646898,2322023.4782467047,17.782576489756476,17.782576489756476,False
2024-09-10T21:30:52Z.json,0,1,105.86776,20.9967,590189.82917095,2322027.1508721034,590182.0637646898,2322023.4782467047,8.590093812326712,8.590093812326712,False
2024-09-10T21:30:52Z.json,0,2,105.86767,20.99665,590180.5046009299,2322021.5659958436,590182.0533768235,2322021.5576191666,-1.5487985464309493,1.5487985464309493,True
2024-09-10T21:30:52Z.json,0,3,105.86765,20.99648,590178.5279041344,2322002.738742357,590182.1044162146,2322002.764293283,-3.5766033481681667,3.5766033481681667,True
2024-09-10T21:30:52Z.json,0,4,105.86766,20.99613,590179.7775202974,2321964.0056162504,590182.381178827,2321964.0242170226,-2.6037249715324537,2.6037249715324537,True
2024-09-10T21:30:52Z.json,0,5,105.8676,20.99594,590173.6552028463,2321942.9421608206,590182.5313379248,2321943.005572733,-8.876361585822538,8.876361585822538,True
2024-09-10T21:30:52Z.json,0,6,105.86764,20.99582,590177.8848949707,2321929.6828585216,590182.6262746106,2321929.716731367,-4.741500633743299,4.741500633743299,True
2024-09-10T21:30:52Z.json,0,7,105.86763,20.99537,590177.115746395,2321879.870237495,590182.9864998972,2321879.9134429437,-5.87091248400808,5.87091248400808,True
2024-09-10T21:30:52Z.json,0,8,105.86761,20.99523,590175.1210047725,2321864.3634532425,590183.126553871,2321864.4792688466,-8.006386801944501,8.006386801944501,True
2024-09-10T21:30:52Z.json,0,9,105.86762,20.9951,590176.2384871058,2321849.98041033,590183.3348224311,2321850.083072415,-7.097077888289107,7.097077888289107,True
2024-09-10T21:30:52Z.json,0,10,105.86762,20.99486,590176.3826188255,2321823.416689048,590183.7190672937,2321823.5228248294,-7.337216156685963,7.337216156685963,True
2024-09-10T21:30:52Z.json,0,11,105.86767,20.99479,590181.6217238421,2321815.697136406,590183.7879155816,2321818.7638085093,-3.754579129878533,3.754579129878533,True
2024-09-10T21:30:52Z.json,0,12,105.8677,20.99478,590184.7459699936,2321814.60723503,590183.7879155816,2321818.7638085093,4.26555639362052,4.26555639362052,True
2024-09-13T21:39:50Z.json,0,0,105.86785,20.99678,590199.1357121267,2322036.0562198507,590182.0637646898,2322023.4782467047,21.205112538004368,21.205112538004368,False
2024-09-13T21:39:50Z.json,0,1,105.86782,20.99678,590196.0175132097,2322036.0392952804,590182.0637646898,2322023.4782467047,18.774638187635343,18.774638187635343,False
2024-09-13T21:39:50Z.json,0,2,105.86776,20.99675,590189.7991362722,2322032.6849819645,590182.0637646898,2322023.4782467047,12.02497183621193,12.02497183621193,True
2024-09-13T21:39:50Z.json,0,3,105.86774,20.99671,590187.7443638074,2322028.246412163,590182.0637646898,2322023.4782467047,7.416509163574648,7.416509163574648,True
2024-09-13T21:39:50Z.json,0,4,105.86773,20.9966,590186.7710374995,2322016.0657297806,590182.0180750274,2322016.0975275855,4.753068836242722,4.753068836242722,True
2024-09-13T21:39:50Z.json,0,5,105.86768,20.99646,590181.658121801,2322000.542019569,590182.1202687522,2322000.5453211884,-0.46215874461853385,0.46215874461853385,True
2024-09-13T21:39:50Z.json,0,6,105.86768,20.99637,590181.7121784714,2321990.5806223317,590182.1914330028,2321990.5840461696,-0.47926676138999136,0.47926676138999136,True
2024-09-13T21:39:50Z.json,0,7,105.86765,20.99629,590178.642019669,2321981.709126163,590182.2546518532,2321981.734935134,-3.6127243739271084,3.6127243739271084,True
2024-09-13T21:39:50Z.json,0,8,105.86768,20.99618,590181.8262973806,2321969.5510062776,590182.3416686406,2321969.5546881366,-0.5153844115998267,0.5153844115998267,True
2024-09-13T21:39:50Z.json,0,9,105.86764,20.99591,590177.8308421484,2321939.644255052,590182.5551103653,2321939.6780056516,-4.724388774003859,4.724388774003859,True
2024-09-13T21:39:50Z.json,0,10,105.86766,20.99572,590180.0237672837,2321918.625920451,590182.7053715042,2321918.645078074,-2.681672651557043,2.681672651557043,True
2024-09-13T21:39:50Z.json,0,11,105.86762,20.99557,590175.9562245859,2321902.0010332908,590182.823927553,2321902.0500967824,-6.867878221914532,6.867878221914532,True
2024-09-13T21:39:50Z.json,0,12,105.86762,20.99539,590176.06432584,2321882.078241187,590182.9701941668,2321882.1290645,-6.90605533976751,6.90605533976751,True
2024-09-13T21:39:50Z.json,0,13,105.86763,20.99536,590177.1217520579,2321878.7634157245,590182.994645368,2321878.806636921,-5.873052349749522,5.873052349749522,True
2024-09-13T21:39:50Z.json,0,14,105.86763,20.99524,590177.1938198003,2321865.481554569,590183.1108155102,2321865.567155247,-5.917614866377535,5.917614866377535,True
2024-09-13T21:39:50Z.json,0,15,105.86767,20.99511,590181.4295374,2321851.115431677,590183.319491825,2321851.1427734885,-1.8901521904232235,1.8901521904232235,True
