segment_index,start_m,end_m,mid_x,mid_y,points_total,points_kept,median_signed_m,mad_m,p5_abs_m,p95_abs_m,width_m
0,0.0,10.0,590182.034002881,2322018.478336285,250,250,6.714046778273088,9.302200120664496,1.5803208189161624,19.982019320969226,18.401698502053062
1,10.0,20.0,590182.0635928189,2322008.4785819664,43,42,-1.493970567566885,6.226985116071169,0.4488526621986766,12.010013362792733,11.561160700594057
2,20.0,30.0,590182.1350319013,2321998.4788371464,48,46,-0.4697622817577351,4.153862277449096,0.46881183705405527,9.90179957611343,9.432987739059374
3,30.0,40.0,590182.2064709837,2321988.479092327,46,42,-3.081609453013751,4.671670327613114,0.47926676138999136,9.83020956639791,9.350942805007918
4,40.0,50.0,590182.2779100661,2321978.4793475075,49,49,0.5392401202689213,6.230798015042785,0.5369590804321183,12.599897326691845,12.062938246259726
5,50.0,60.0,590182.3493491483,2321968.4796026875,39,33,-0.5153844115998267,4.151966426158797,0.5150421109447398,10.913268088335059,10.398225977390318
6,60.0,70.0,590182.4207882307,2321958.479857868,34,34,1.548244040043239,6.231757474365621,1.5450126111864428,12.976332954407384,11.431320343220941
7,70.0,80.0,590182.4922273131,2321948.4801130486,42,41,-1.0721629737265987,3.642719306959103,0.5515030469408768,9.844585870889894,9.293082823949018
8,80.0,90.0,590182.5636663955,2321938.480368229,45,42,-0.5610081148363465,4.172887220593546,0.4807350274807126,10.958296618512222,10.47756159103151
9,90.0,100.0,590182.6351054779,2321928.480623409,42,42,-2.1505552051824766,5.703500859388484,0.45949648151101696,12.884694978029291,12.425198496518274
10,100.0,110.0,590182.7065445601,2321918.4808785897,44,44,-0.0831208007215552,4.673591718745724,0.5990290682686522,12.04321051417515,11.444181445906498
11,110.0,120.0,590182.7779836425,2321908.48113377,34,31,-0.6142378239738083,4.160536503704827,1.5543793846485265,11.43743530557564,9.883055920927113
12,120.0,130.0,590182.849850219,2321898.4813920506,46,46,-2.7163211384176273,6.228023131598343,0.631347737082526,13.116371757922487,12.48502402083996
13,130.0,140.0,590182.9234426104,2321888.481662846,43,40,0.3763210825483136,4.159828728750375,0.38680428293840396,11.081259572595524,10.694455289657121
14,140.0,150.0,590182.9970350018,2321878.4819336417,43,43,-1.7239195615847933,4.164110280786144,0.7518445921652999,11.071450388291296,10.319605796125996
15,150.0,160.0,590183.0706273932,2321868.4822044377,55,52,-3.8288431995363807,4.181630327651318,0.34194293951498816,13.187793067628665,12.845850128113677
16,160.0,170.0,590183.2132980727,2321858.483229087,41,41,-0.7707257904443784,4.1875488542968435,0.7507152182016753,12.193937521875968,11.443222303674293
17,170.0,180.0,590183.357952093,2321848.484275381,39,39,0.14859483054224656,6.216294321920083,0.14859483054224656,13.730807704797977,13.582212874255731
18,180.0,190.0,590183.5026061132,2321838.4853216754,32,32,-3.0145826088142806,5.161905016665521,1.0337333656106793,12.880293389325915,11.846560023715236
19,190.0,200.0,590183.6472601335,2321828.4863679693,78,78,4.690757241584318,6.745998808879596,1.0178906126028904,15.55077951460907,14.53288890200618
20,200.0,204.7235768319905,590183.7537513627,2321821.1253498127,121,121,-3.765314940829235,12.049785502392657,3.2196953559187453,18.98208361588522,15.762388259966475
